Resolution,Execution Time (s),Operation,Version,Kernel Size
256x256_SE3,0.000155552,Erosion,CUDA,3
256x256_SE3,1.57567,Erosion,CUDA,3
3840x2160_SE3,0.000969152,Erosion,CUDA,3
3840x2160_SE3,2.11567,Erosion,CUDA,3
3840x21603,0.000596448,Erosion,CUDA,3
3840x21603,0.000583264,Dilation,CUDA,3
256x256_SE3,0.000164928,Erosion,CUDA,3
256x256_SE3,5.3344e-05,Dilation,CUDA,3
256x256_SE3,5.3344e-05,Opening,CUDA,3
256x256_SE3,5.3344e-05,Closing,CUDA,3
256x256_SE3,5.3344e-05,Top-hat,CUDA,3
256x256_SE3,5.3344e-05,Black-hat,CUDA,3
3840x2160_SE3,0.000661056,Erosion,CUDA,3
3840x2160_SE3,0.0005728,Dilation,CUDA,3
3840x2160_SE3,0.0005728,Opening,CUDA,3
3840x2160_SE3,0.0005728,Closing,CUDA,3
3840x2160_SE3,0.0005728,Top-hat,CUDA,3
3840x2160_SE3,0.0005728,Black-hat,CUDA,3
3840x2160_SE3,0.000739168,Erosion,CUDA,3
3840x2160_SE3,0.000563776,Dilation,CUDA,3
3840x2160_SE3,0.00114045,Opening,CUDA,3
3840x2160_SE3,0.0010559,Closing,CUDA,3
3840x2160_SE3,0.000232576,Top-hat,CUDA,3
3840x2160_SE3,0.00022208,Black-hat,CUDA,3
3840x2160_SE3,0.00066016,Erosion,CUDA,3
3840x2160_SE3,0.000578976,Dilation,CUDA,3
3840x2160_SE3,0.0010417,Opening,CUDA,3
3840x2160_SE3,0.0010664,Closing,CUDA,3
3840x2160_SE3,0.000166528,Top-hat,CUDA,3
3840x2160_SE3,0.000207168,Black-hat,CUDA,3
