Resolution,Execution Time (s),Operation,Version,Kernel Size
256x256,4.89151,Erosion,Sequential,3
256x256,4.89151,Dilation,Sequential,3
256x256,4.89151,Opening,Sequential,3
256x256,4.89151,Closing,Sequential,3
256x256,4.89151,Gradient,Sequential,3
256x256,4.89151,Tophat,Sequential,3
256x256,4.89151,Blackhat,Sequential,3
256x256,1.19338,Erosion,Sequential,5
256x256,1.19338,Dilation,Sequential,5
256x256,1.19338,Opening,Sequential,5
256x256,1.19338,Closing,Sequential,5
256x256,1.19338,Gradient,Sequential,5
256x256,1.19338,Tophat,Sequential,5
256x256,1.19338,Blackhat,Sequential,5
256x256,1.00548,Erosion,Sequential,7
256x256,1.00548,Dilation,Sequential,7
256x256,1.00548,Opening,Sequential,7
256x256,1.00548,Closing,Sequential,7
256x256,1.00548,Gradient,Sequential,7
256x256,1.00548,Tophat,Sequential,7
256x256,1.00548,Blackhat,Sequential,7
512x512,1.52478,Erosion,Sequential,3
512x512,1.52478,Dilation,Sequential,3
512x512,1.52478,Opening,Sequential,3
512x512,1.52478,Closing,Sequential,3
512x512,1.52478,Gradient,Sequential,3
512x512,1.52478,Tophat,Sequential,3
512x512,1.52478,Blackhat,Sequential,3
512x512,0.875632,Erosion,Sequential,5
512x512,0.875632,Dilation,Sequential,5
512x512,0.875632,Opening,Sequential,5
512x512,0.875632,Closing,Sequential,5
512x512,0.875632,Gradient,Sequential,5
512x512,0.875632,Tophat,Sequential,5
512x512,0.875632,Blackhat,Sequential,5
512x512,0.682315,Erosion,Sequential,7
512x512,0.682315,Dilation,Sequential,7
512x512,0.682315,Opening,Sequential,7
512x512,0.682315,Closing,Sequential,7
512x512,0.682315,Gradient,Sequential,7
512x512,0.682315,Tophat,Sequential,7
512x512,0.682315,Blackhat,Sequential,7
1024x1024,1.17355,Erosion,Sequential,3
1024x1024,1.17355,Dilation,Sequential,3
1024x1024,1.17355,Opening,Sequential,3
1024x1024,1.17355,Closing,Sequential,3
1024x1024,1.17355,Gradient,Sequential,3
1024x1024,1.17355,Tophat,Sequential,3
1024x1024,1.17355,Blackhat,Sequential,3
1024x1024,1.17797,Erosion,Sequential,5
1024x1024,1.17797,Dilation,Sequential,5
1024x1024,1.17797,Opening,Sequential,5
1024x1024,1.17797,Closing,Sequential,5
1024x1024,1.17797,Gradient,Sequential,5
1024x1024,1.17797,Tophat,Sequential,5
1024x1024,1.17797,Blackhat,Sequential,5
1024x1024,0.759041,Erosion,Sequential,7
1024x1024,0.759041,Dilation,Sequential,7
1024x1024,0.759041,Opening,Sequential,7
1024x1024,0.759041,Closing,Sequential,7
1024x1024,0.759041,Gradient,Sequential,7
1024x1024,0.759041,Tophat,Sequential,7
1024x1024,0.759041,Blackhat,Sequential,7
