Resolution,Execution Time (s),Operation,Version,Kernel Size
256x256,23.8228,Erosion,Sequential,3
256x256,23.8228,Dilation,Sequential,3
256x256,23.8228,Opening,Sequential,3
256x256,23.8228,Closing,Sequential,3
256x256,23.8228,Gradient,Sequential,3
256x256,23.8228,Tophat,Sequential,3
256x256,23.8228,Blackhat,Sequential,3
256x256,0.470389,Erosion,Sequential,5
256x256,0.470389,Dilation,Sequential,5
256x256,0.470389,Opening,Sequential,5
256x256,0.470389,Closing,Sequential,5
256x256,0.470389,Gradient,Sequential,5
256x256,0.470389,Tophat,Sequential,5
256x256,0.470389,Blackhat,Sequential,5
256x256,0.255462,Erosion,Sequential,7
256x256,0.255462,Dilation,Sequential,7
256x256,0.255462,Opening,Sequential,7
256x256,0.255462,Closing,Sequential,7
256x256,0.255462,Gradient,Sequential,7
256x256,0.255462,Tophat,Sequential,7
256x256,0.255462,Blackhat,Sequential,7
512x512,0.264628,Erosion,Sequential,3
512x512,0.264628,Dilation,Sequential,3
512x512,0.264628,Opening,Sequential,3
512x512,0.264628,Closing,Sequential,3
512x512,0.264628,Gradient,Sequential,3
512x512,0.264628,Tophat,Sequential,3
512x512,0.264628,Blackhat,Sequential,3
512x512,0.273557,Erosion,Sequential,5
512x512,0.273557,Dilation,Sequential,5
512x512,0.273557,Opening,Sequential,5
512x512,0.273557,Closing,Sequential,5
512x512,0.273557,Gradient,Sequential,5
512x512,0.273557,Tophat,Sequential,5
512x512,0.273557,Blackhat,Sequential,5
512x512,0.233215,Erosion,Sequential,7
512x512,0.233215,Dilation,Sequential,7
512x512,0.233215,Opening,Sequential,7
512x512,0.233215,Closing,Sequential,7
512x512,0.233215,Gradient,Sequential,7
512x512,0.233215,Tophat,Sequential,7
512x512,0.233215,Blackhat,Sequential,7
1024x1024,0.212715,Erosion,Sequential,3
1024x1024,0.212715,Dilation,Sequential,3
1024x1024,0.212715,Opening,Sequential,3
1024x1024,0.212715,Closing,Sequential,3
1024x1024,0.212715,Gradient,Sequential,3
1024x1024,0.212715,Tophat,Sequential,3
1024x1024,0.212715,Blackhat,Sequential,3
1024x1024,0.29644,Erosion,Sequential,5
1024x1024,0.29644,Dilation,Sequential,5
1024x1024,0.29644,Opening,Sequential,5
1024x1024,0.29644,Closing,Sequential,5
1024x1024,0.29644,Gradient,Sequential,5
1024x1024,0.29644,Tophat,Sequential,5
1024x1024,0.29644,Blackhat,Sequential,5
1024x1024,0.526494,Erosion,Sequential,7
1024x1024,0.526494,Dilation,Sequential,7
1024x1024,0.526494,Opening,Sequential,7
1024x1024,0.526494,Closing,Sequential,7
1024x1024,0.526494,Gradient,Sequential,7
1024x1024,0.526494,Tophat,Sequential,7
1024x1024,0.526494,Blackhat,Sequential,7
